df2_inst,address_df2,df2_state,df1_inst,address_df1,df1_state,similarity,address
tennessee wesleyan university,,TN,tennessee wesleyan university,,TN,100,Address not found
texas a & m international university,,TX,texas a & m international university,,TX,100,Address not found
texas a & m university-college station,,TX,texas a & m university-college station,,TX,100,Address not found
texas a & m university-commerce,,TX,texas a & m university-commerce,,TX,100,Address not found
texas a & m university-corpus christi,,TX,texas a & m university-corpus christi,,TX,100,Address not found
texas a & m university-kingsville,,TX,texas a & m university-kingsville,,TX,100,Address not found
texas a&m university-san antonio,,TX,texas a&m university-san antonio,,TX,100,Address not found
texas a&m university-texarkana,,TX,texas a&m university-texarkana,,TX,100,Address not found
texas college,,TX,texas college,,TX,100,Address not found
texas lutheran university,,TX,texas lutheran university,,TX,100,Address not found
texas state university,,TX,texas state university,,TX,100,Address not found
texas wesleyan university,,TX,texas wesleyan university,,TX,100,Address not found
texas woman's university,,TX,texas woman's university,,TX,100,Address not found
the catholic university of america,,DC,the catholic university of america,,DC,100,Address not found
the christ college of nursing and health sciences,,OH,the christ college of nursing and health sciences,,OH,100,Address not found
the college of idaho,,ID,the college of idaho,,ID,100,Address not found
the college of saint scholastica,,MN,the college of saint scholastica,,MN,100,Address not found
the college of the florida keys,,FL,the college of the florida keys,,FL,100,Address not found
the college of westchester,,NY,the college of westchester,,NY,100,Address not found
the college of wooster,,OH,the college of wooster,,OH,100,Address not found
the evergreen state college,,WA,the evergreen state college,,WA,100,Address not found
the juilliard school,,NY,the juilliard school,,NY,100,Address not found
the king's university,,TX,the king's university,,TX,100,Address not found
the master's university and seminary,,CA,the master's university and seminary,,CA,100,Address not found
the modern college of design,,OH,the modern college of design,,OH,100,Address not found
the new england conservatory of music,,MA,the new england conservatory of music,,MA,100,Address not found
the new school,,NY,the new school,,NY,100,Address not found
the southwestern baptist theological seminary,,TX,the southwestern baptist theological seminary,,TX,100,Address not found
the university of findlay,,OH,the university of findlay,,OH,100,Address not found
the university of montana,,MT,the university of montana,,MT,100,Address not found
the university of montana-western,,MT,the university of montana-western,,MT,100,Address not found
the university of tampa,,FL,the university of tampa,,FL,100,Address not found
the university of texas at arlington,,TX,the university of texas at arlington,,TX,100,Address not found
the university of texas at dallas,,TX,the university of texas at dallas,,TX,100,Address not found
the university of texas at el paso,,TX,the university of texas at el paso,,TX,100,Address not found
the university of texas at san antonio,,TX,the university of texas at san antonio,,TX,100,Address not found
the university of texas at tyler,,TX,the university of texas at tyler,,TX,100,Address not found
the university of texas permian basin,,TX,the university of texas permian basin,,TX,100,Address not found
the university of the south,,TN,the university of the south,,TN,100,Address not found
thiel college,,PA,thiel college,,PA,100,Address not found
thomas college,,ME,thomas college,,ME,100,Address not found
thomas jefferson university,,PA,thomas jefferson university,,PA,100,Address not found
thomas more college of liberal arts,,NH,thomas more college of liberal arts,,NH,100,Address not found
thomas more university,,KY,thomas more university,,KY,100,Address not found
thomas university,,GA,thomas university,,GA,100,Address not found
tiffin university,,OH,tiffin university,,OH,100,Address not found
toccoa falls college,,GA,toccoa falls college,,GA,100,Address not found
torah temimah talmudical seminary,,NY,torah temimah talmudical seminary,,NY,100,Address not found
touro university,,NY,touro university,,NY,100,Address not found
touro university worldwide,,CA,touro university worldwide,,CA,100,Address not found
towson university,,MD,towson university,,MD,100,Address not found
transylvania university,,KY,transylvania university,,KY,100,Address not found
trevecca nazarene university,,TN,trevecca nazarene university,,TN,100,Address not found
tri-state bible college,,OH,tri-state bible college,,OH,100,Address not found
trine university,,IN,trine university,,IN,100,Address not found
trine university-regional/non-traditional campuses,,IN,trine university-regional/non-traditional campuses,,IN,100,Address not found
trinidad state college,,CO,trinidad state college,,CO,100,Address not found
trinity baptist college,,FL,trinity baptist college,,FL,100,Address not found
trinity christian college,,IL,trinity christian college,,IL,100,Address not found
trinity college,,CT,trinity college,,CT,100,Address not found
trinity international university-illinois,,IL,trinity international university-illinois,,IL,100,Address not found
trinity washington university,,DC,trinity washington university,,DC,100,Address not found
trocaire college,,NY,trocaire college,,NY,100,Address not found
troy university,,AL,troy university,,AL,100,Address not found
truckee meadows community college,,NV,truckee meadows community college,,NV,100,Address not found
turtle mountain community college,,ND,turtle mountain community college,,ND,100,Address not found
tusculum university,,TN,tusculum university,,TN,100,Address not found
tuskegee university,,AL,tuskegee university,,AL,100,Address not found
tyler junior college,,TX,tyler junior college,,TX,100,Address not found
union bible college,,IN,union bible college,,IN,100,Address not found
union college,,KY,union college,,KY,100,Address not found
united international college,,FL,united international college,,FL,100,Address not found
united states coast guard academy,,CT,united states coast guard academy,,CT,100,Address not found
united talmudical seminary,,NY,united talmudical seminary,,NY,100,Address not found
united tribes technical college,,ND,united tribes technical college,,ND,100,Address not found
unitek college,,CA,unitek college,,CA,100,Address not found
unity college,,ME,unity college,,ME,100,Address not found
universal technology college of puerto rico,,PR,universal technology college of puerto rico,,PR,100,Address not found
universidad adventista de las antillas,,PR,universidad adventista de las antillas,,PR,100,Address not found
universidad ana g. mendez-cupey campus,,PR,universidad ana g. mendez-cupey campus,,PR,100,Address not found
universidad ana g. mendez-gurabo campus,,PR,universidad ana g. mendez-gurabo campus,,PR,100,Address not found
universidad ana g. mendez–carolina campus,,PR,universidad ana g. mendez-carolina campus,,PR,100,Address not found
universidad central de bayamon,,PR,universidad central de bayamon,,PR,100,Address not found
universidad del sagrado corazon,,PR,universidad del sagrado corazon,,PR,100,Address not found
university at buffalo,,NY,university at buffalo,,NY,100,Address not found
university of advancing technology,,AZ,university of advancing technology,,AZ,100,Address not found
university of akron main campus,,OH,university of akron main campus,,OH,100,Address not found
university of alaska anchorage,,AK,university of alaska anchorage,,AK,100,Address not found
university of alaska southeast,,AK,university of alaska southeast,,AK,100,Address not found
university of arizona,,AZ,university of arizona,,AZ,100,Address not found
university of arkansas at little rock,,AR,university of arkansas at little rock,,AR,100,Address not found
university of arkansas at monticello,,AR,university of arkansas at monticello,,AR,100,Address not found
university of arkansas for medical sciences,,AR,university of arkansas for medical sciences,,AR,100,Address not found
university of arkansas-fort smith,,AR,university of arkansas-fort smith,,AR,100,Address not found
university of baltimore,,MD,university of baltimore,,MD,100,Address not found
university of bridgeport,,CT,university of bridgeport,,CT,100,Address not found
university of california-berkeley,,CA,university of california-berkeley,,CA,100,Address not found
university of california-davis,,CA,university of california-davis,,CA,100,Address not found
university of california-irvine,,CA,university of california-irvine,,CA,100,Address not found
university of california-los angeles,,CA,university of california-los angeles,,CA,100,Address not found
university of california-merced,,CA,university of california-merced,,CA,100,Address not found
university of california-riverside,,CA,university of california-riverside,,CA,100,Address not found
university of california-san diego,,CA,university of california-san diego,,CA,100,Address not found
university of california-santa barbara,,CA,university of california-santa barbara,,CA,100,Address not found
university of california-santa cruz,,CA,university of california-santa cruz,,CA,100,Address not found
university of central missouri,,MO,university of central missouri,,MO,100,Address not found
university of central oklahoma,,OK,university of central oklahoma,,OK,100,Address not found
university of charleston,,WV,university of charleston,,WV,100,Address not found
university of chicago,,IL,university of chicago,,IL,100,Address not found
university of cincinnati-blue ash college,,OH,university of cincinnati-blue ash college,,OH,100,Address not found
university of cincinnati-clermont college,,OH,university of cincinnati-clermont college,,OH,100,Address not found
university of colorado boulder,,CO,university of colorado boulder,,CO,100,Address not found
university of colorado colorado springs,,CO,university of colorado colorado springs,,CO,100,Address not found
university of colorado denver/anschutz medical campus,,CO,university of colorado denver/anschutz medical campus,,CO,100,Address not found
university of dayton,,OH,university of dayton,,OH,100,Address not found
university of denver,,CO,university of denver,,CO,100,Address not found
university of detroit mercy,,MI,university of detroit mercy,,MI,100,Address not found
university of dubuque,,IA,university of dubuque,,IA,100,Address not found
university of evansville,,IN,university of evansville,,IN,100,Address not found
university of fort lauderdale,,FL,university of fort lauderdale,,FL,100,Address not found
university of guam,,GU,university of guam,,GU,100,Address not found
university of hartford,,CT,university of hartford,,CT,100,Address not found
university of hawaii at hilo,,HI,university of hawaii at hilo,,HI,100,Address not found
university of hawaii at manoa,,HI,university of hawaii at manoa,,HI,100,Address not found
university of hawaii maui college,,HI,university of hawaii maui college,,HI,100,Address not found
university of hawaii-west oahu,,HI,university of hawaii-west oahu,,HI,100,Address not found
university of holy cross,,LA,university of holy cross,,LA,100,Address not found
university of houston,,TX,university of houston,,TX,100,Address not found
university of illinois chicago,,IL,university of illinois chicago,,IL,100,Address not found
university of illinois springfield,,IL,university of illinois springfield,,IL,100,Address not found
university of illinois urbana-champaign,,IL,university of illinois urbana-champaign,,IL,100,Address not found
university of indianapolis,,IN,university of indianapolis,,IN,100,Address not found
university of iowa,,IA,university of iowa,,IA,100,Address not found
university of jamestown,,ND,university of jamestown,,ND,100,Address not found
university of kansas,,KS,university of kansas,,KS,100,Address not found
university of la verne,,CA,university of la verne,,CA,100,Address not found
university of louisiana at lafayette,,LA,university of louisiana at lafayette,,LA,100,Address not found
university of louisiana at monroe,,LA,university of louisiana at monroe,,LA,100,Address not found
university of louisville,,KY,university of louisville,,KY,100,Address not found
university of lynchburg,,VA,university of lynchburg,,VA,100,Address not found
university of maine,,ME,university of maine,,ME,100,Address not found
university of maine at augusta,,ME,university of maine at augusta,,ME,100,Address not found
university of maine at farmington,,ME,university of maine at farmington,,ME,100,Address not found
university of maine at fort kent,,ME,university of maine at fort kent,,ME,100,Address not found
university of maine at machias,,ME,university of maine - machias,,ME,95,Address not found
university of maine at presque isle,,ME,university of maine at presque isle,,ME,100,Address not found
university of management and technology,,VA,university of management and technology,,VA,100,Address not found
university of mary,,ND,university of mary,,ND,100,Address not found
university of mary hardin-baylor,,TX,university of mary hardin-baylor,,TX,100,Address not found
university of mary washington,,VA,university of mary washington,,VA,100,Address not found
university of maryland eastern shore,,MD,university of maryland eastern shore,,MD,100,Address not found
university of maryland global campus,,MD,university of maryland global campus,,MD,100,Address not found
university of massachusetts global,,CA,university of massachusetts global,,CA,100,Address not found
university of massachusetts-amherst,,MA,university of massachusetts-amherst,,MA,100,Address not found
university of massachusetts-boston,,MA,university of massachusetts-boston,,MA,100,Address not found
university of massachusetts-dartmouth,,MA,university of massachusetts-dartmouth,,MA,100,Address not found
university of massachusetts-lowell,,MA,university of massachusetts-lowell,,MA,100,Address not found
university of michigan-ann arbor,,MI,university of michigan-ann arbor,,MI,100,Address not found
university of michigan-flint,,MI,university of michigan-flint,,MI,100,Address not found
"university of minnesota-crookston
",,MN,university of minnesota-crookston,,MN,100,Address not found
university of minnesota-duluth,,MN,university of minnesota-duluth,,MN,100,Address not found
university of missouri-kansas city,,MO,university of missouri-kansas city,,MO,100,Address not found
university of mobile,,AL,university of mobile,,AL,100,Address not found
university of montevallo,,AL,university of montevallo,,AL,100,Address not found
university of mount olive,,NC,university of mount olive,,NC,100,Address not found
university of mount union,,OH,university of mount union,,OH,100,Address not found
university of nebraska at kearney,,NE,university of nebraska at kearney,,NE,100,Address not found
university of nebraska at omaha,,NE,university of nebraska at omaha,,NE,100,Address not found
university of nebraska-lincoln,,NE,university of nebraska-lincoln,,NE,100,Address not found
university of nevada-las vegas,,NV,university of nevada-las vegas,,NV,100,Address not found
university of nevada-reno,,NV,university of nevada-reno,,NV,100,Address not found
university of new england,,ME,university of new england,,ME,100,Address not found
university of new hampshire at manchester,,NH,university of new hampshire at manchester,,NH,100,Address not found
university of new hampshire-main campus,,NH,university of new hampshire-main campus,,NH,100,Address not found
university of new haven,,CT,university of new haven,,CT,100,Address not found
university of new mexico-main campus,,NM,university of new mexico-main campus,,NM,100,Address not found
university of new orleans,,LA,university of new orleans,,LA,100,Address not found
university of north alabama,,AL,university of north alabama,,AL,100,Address not found
university of north dakota,,ND,university of north dakota,,ND,100,Address not found
university of north texas,,TX,university of north texas,,TX,100,Address not found
university of north texas at dallas,,TX,university of north texas at dallas,,TX,100,Address not found
university of northern colorado,,CO,university of northern colorado,,CO,100,Address not found
university of northern iowa,,IA,university of northern iowa,,IA,100,Address not found
university of northwestern ohio,,OH,university of northwestern ohio,,OH,100,Address not found
university of northwestern-st paul,,MN,university of northwestern-st paul,,MN,100,Address not found
university of oregon,,OR,university of oregon,,OR,100,Address not found
university of phoenix-arizona,,AZ,university of phoenix-arizona,,AZ,100,Address not found
university of phoenix-california,,CA,university of phoenix-california,,CA,100,Address not found
university of phoenix-hawaii,,HI,university of phoenix-hawaii,,HI,100,Address not found
university of phoenix-nevada,,NV,university of phoenix-nevada,,NV,100,Address not found
university of phoenix-texas,,TX,university of phoenix-texas,,TX,100,Address not found
university of pikeville,,KY,university of pikeville,,KY,100,Address not found
university of providence,,MT,university of providence,,MT,100,Address not found
university of puerto rico-aguadilla,,PR,university of puerto rico-aguadilla,,PR,100,Address not found
university of puerto rico-arecibo,,PR,university of puerto rico-arecibo,,PR,100,Address not found
university of puerto rico-bayamon,,PR,university of puerto rico-bayamon,,PR,100,Address not found
university of puerto rico-carolina,,PR,university of puerto rico-carolina,,PR,100,Address not found
university of puerto rico-cayey,,PR,university of puerto rico-cayey,,PR,100,Address not found
university of puerto rico-humacao,,PR,university of puerto rico-humacao,,PR,100,Address not found
university of puerto rico-mayaguez,,PR,university of puerto rico-mayaguez,,PR,100,Address not found
university of puerto rico-ponce,,PR,university of puerto rico at ponce,,PR,95,Address not found
university of puerto rico-rio piedras,,PR,university of puerto rico-rio piedras,,PR,100,Address not found
university of puerto rico-utuado,,PR,university of puerto rico-utuado,,PR,100,Address not found
university of puget sound,,WA,university of puget sound,,WA,100,Address not found
university of redlands,,CA,university of redlands,,CA,100,Address not found
university of rio grande,,OH,university of rio grande,,OH,100,Address not found
university of rochester,,NY,university of rochester,,NY,100,Address not found
university of saint francis-fort wayne,,IN,university of saint francis-fort wayne,,IN,100,Address not found
university of saint joseph,,CT,university of saint joseph,,CT,100,Address not found
university of saint mary,,KS,university of saint mary,,KS,100,Address not found
university of san francisco,,CA,university of san francisco,,CA,100,Address not found
university of science and arts of oklahoma,,OK,university of science and arts of oklahoma,,OK,100,Address not found
university of scranton,,PA,university of scranton,,PA,100,Address not found
university of silicon valley,,CA,university of silicon valley,,CA,100,Address not found
university of sioux falls,,SD,university of sioux falls,,SD,100,Address not found
university of south carolina beaufort,,SC,university of south carolina beaufort,,SC,100,Address not found
university of south carolina-upstate,,SC,university of south carolina-upstate,,SC,100,Address not found
university of south dakota,,SD,university of south dakota,,SD,100,Address not found
university of southern indiana,,IN,university of southern indiana,,IN,100,Address not found
university of southern maine,,ME,university of southern maine,,ME,100,Address not found
university of southern mississippi,,MS,university of southern mississippi,,MS,100,Address not found
university of st francis,,IL,university of st francis,,IL,100,Address not found
university of st thomas,,MN,university of st thomas,,MN,100,Address not found
university of the cumberlands,,KY,university of the cumberlands,,KY,100,Address not found
university of the district of columbia,,DC,university of the district of columbia,,DC,100,Address not found
university of the incarnate word,,TX,university of the incarnate word,,TX,100,Address not found
university of the ozarks,,AR,university of the ozarks,,AR,100,Address not found
university of the pacific,,CA,university of the pacific,,CA,100,Address not found
university of the potomac-va campus,,VA,university of the potomac-va campus,,VA,100,Address not found
university of the potomac-washington dc campus,,DC,university of the potomac-washington dc campus,,DC,100,Address not found
university of the southwest,,NM,university of the southwest,,NM,100,Address not found
university of the virgin islands-albert a. sheen,,VI,university of the virgin islands-albert a. sheen,,VI,100,Address not found
"university of the virgin islands, st. thomas",,VI,university of the virgin islands,,VI,86,Address not found
university of the west,,CA,university of the west,,CA,100,Address not found
university of toledo,,OH,university of toledo,,OH,100,Address not found
university of tulsa,,OK,university of tulsa,,OK,100,Address not found
university of utah,,UT,university of utah,,UT,100,Address not found
university of valley forge,,PA,university of valley forge,,PA,100,Address not found
university of virginia's college at wise,,VA,university of virginia's college at wise,,VA,100,Address not found
university of washington-bothell campus,,WA,university of washington-bothell campus,,WA,100,Address not found
university of washington-seattle campus,,WA,university of washington-seattle campus,,WA,100,Address not found
university of washington-tacoma campus,,WA,university of washington-tacoma campus,,WA,100,Address not found
upper iowa university,,IA,upper iowa university,,IA,100,Address not found
ursinus college,,PA,ursinus college,,PA,100,Address not found
ursuline college,,OH,ursuline college,,OH,100,Address not found
uta mesivta of kiryas joel,,NY,uta mesivta of kiryas joel,,NY,100,Address not found
utah state university,,UT,utah state university,,UT,100,Address not found
utah tech university,,UT,utah tech university,,UT,100,Address not found
utah valley university,,UT,utah valley university,,UT,100,Address not found
utica university,,NY,utica university,,NY,100,Address not found
valencia college,,FL,valencia college,,FL,100,Address not found
valley city state university,,ND,valley city state university,,ND,100,Address not found
valley college-martinsburg,,WV,valley college-martinsburg,,WV,100,Address not found
valor christian college,,OH,valor christian college,,OH,100,Address not found
vandercook college of music,,IL,vandercook college of music,,IL,100,Address not found
vanguard university of southern california,,CA,vanguard university of southern california,,CA,100,Address not found
vassar college,,NY,vassar college,,NY,100,Address not found
vaughn college of aeronautics and technology,,NY,vaughn college of aeronautics and technology,,NY,100,Address not found
vermont technical college,,VT,vermont technical college,,VT,100,Address not found
villa maria college,,NY,villa maria college,,NY,100,Address not found
vincennes university,,IN,vincennes university,,IN,100,Address not found
virginia commonwealth university,,VA,virginia commonwealth university,,VA,100,Address not found
virginia state university,,VA,virginia state university,,VA,100,Address not found
virginia university of lynchburg,,VA,virginia university of lynchburg,,VA,100,Address not found
virginia wesleyan university,,VA,virginia wesleyan university,,VA,100,Address not found
viterbo university,,WI,viterbo university,,WI,100,Address not found
voorhees university,,SC,voorhees university,,SC,100,Address not found
wabash college,,IN,wabash college,,IN,100,Address not found
wade college,,TX,wade college,,TX,100,Address not found
wagner college,,NY,wagner college,,NY,100,Address not found
wake forest university,,NC,wake forest university,,NC,100,Address not found
waldorf university,,IA,waldorf university,,IA,100,Address not found
walla walla community college,,WA,walla walla community college,,WA,100,Address not found
walla walla university,,WA,walla walla university,,WA,100,Address not found
walnut hill college,,PA,walnut hill college,,PA,100,Address not found
walsh university,,OH,walsh university,,OH,100,Address not found
warner pacific university,,OR,warner pacific university,,OR,100,Address not found
warner university,,FL,warner university,,FL,100,Address not found
warren wilson college,,NC,warren wilson college,,NC,100,Address not found
wartburg college,,IA,wartburg college,,IA,100,Address not found
washburn university,,KS,washburn university,,KS,100,Address not found
washington & jefferson college,,PA,washington & jefferson college,,PA,100,Address not found
washington adventist university,,MD,washington adventist university,,MD,100,Address not found
washington college,,MD,washington college,,MD,100,Address not found
washington state university,,WA,washington state university,,WA,100,Address not found
washington state university everett,,WA,washington state university - everett campus,,WA,91,Address not found
washington state university spokane,,WA,washington state university-spokane,,WA,100,Address not found
washington state university tri-cities,,WA,washington state university-tri cities,,WA,100,Address not found
washington state university vancouver,,WA,washington state university-vancouver,,WA,100,Address not found
washington university in st louis,,MO,washington university in st louis,,MO,100,Address not found
wayland baptist university,,TX,wayland baptist university,,TX,100,Address not found
wayne state college,,NE,wayne state college,,NE,100,Address not found
waynesburg university,,PA,waynesburg university,,PA,100,Address not found
weatherford college,,TX,weatherford college,,TX,100,Address not found
webb institute,,NY,webb institute,,NY,100,Address not found
webber international university,,FL,webber international university,,FL,100,Address not found
weber state university,,UT,weber state university,,UT,100,Address not found
webster university,,MO,webster university,,MO,100,Address not found
welch college,,TN,welch college,,TN,100,Address not found
wentworth institute of technology,,MA,wentworth institute of technology,,MA,100,Address not found
wesleyan college,,GA,wesleyan college,,GA,100,Address not found
wesleyan university,,CT,wesleyan university,,CT,100,Address not found
west coast university-dallas,,TX,west coast university-dallas,,TX,100,Address not found
west coast university-los angeles,,CA,west coast university-los angeles,,CA,100,Address not found
west coast university-miami,,FL,west coast university-miami,,FL,100,Address not found
west coast university-ontario,,CA,west coast university-ontario,,CA,100,Address not found
west coast university-orange county,,CA,west coast university-orange county,,CA,100,Address not found
west liberty university,,WV,west liberty university,,WV,100,Address not found
west los angeles college,,CA,west los angeles college,,CA,100,Address not found
west texas a & m university,,TX,west texas a & m university,,TX,100,Address not found
west virginia state university,,WV,west virginia state university,,WV,100,Address not found
west virginia university,,WV,west virginia university,,WV,100,Address not found
west virginia university at parkersburg,,WV,west virginia university at parkersburg,,WV,100,Address not found
west virginia university institute of technology,,WV,west virginia university institute of technology,,WV,100,Address not found
west virginia wesleyan college,,WV,west virginia wesleyan college,,WV,100,Address not found
westcliff university,,CA,westcliff university,,CA,100,Address not found
western colorado university,,CO,western colorado university,,CO,100,Address not found
western connecticut state university,,CT,western connecticut state university,,CT,100,Address not found
western governors university,,UT,western governors university,,UT,100,Address not found
western illinois university,,IL,western illinois university,,IL,100,Address not found
western kentucky university,,KY,western kentucky university,,KY,100,Address not found
western michigan university,,MI,western michigan university,,MI,100,Address not found
western nevada college,,NV,western nevada college,,NV,100,Address not found
western new england university,,MA,western new england university,,MA,100,Address not found
western new mexico university,,NM,western new mexico university,,NM,100,Address not found
western oregon university,,OR,western oregon university,,OR,100,Address not found
western washington university,,WA,western washington university,,WA,100,Address not found
western wyoming community college,,WY,western wyoming community college,,WY,100,Address not found
westfield state university,,MA,westfield state university,,MA,100,Address not found
westminster college,,MO,westminster college,,MO,100,Address not found
westmont college,,CA,westmont college,,CA,100,Address not found
wheaton college,,IL,wheaton college,,IL,100,Address not found
wheaton college (massachusetts),,MA,wheaton college (massachusetts),,MA,100,Address not found
wheeling university,,WV,wheeling university,,WV,100,Address not found
whitman college,,WA,whitman college,,WA,100,Address not found
whittier college,,CA,whittier college,,CA,100,Address not found
whitworth university,,WA,whitworth university,,WA,100,Address not found
wichita state university,,KS,wichita state university,,KS,100,Address not found
widener university,,PA,widener university,,PA,100,Address not found
wilberforce university,,OH,wilberforce university,,OH,100,Address not found
wiley college,,TX,wiley college,,TX,100,Address not found
wilkes university,,PA,wilkes university,,PA,100,Address not found
willamette university,,OR,willamette university,,OR,100,Address not found
william & mary,,VA,william & mary,,VA,100,Address not found
william jessup university,,CA,william jessup university,,CA,100,Address not found
william jewell college,,MO,william jewell college,,MO,100,Address not found
william paterson university of new jersey,,NJ,william paterson university of new jersey,,NJ,100,Address not found
william peace university,,NC,william peace university,,NC,100,Address not found
william woods university,,MO,william woods university,,MO,100,Address not found
wilmington college,,OH,wilmington college,,OH,100,Address not found
wilmington university,,DE,wilmington university,,DE,100,Address not found
wilson college,,PA,wilson college,,PA,100,Address not found
wingate university,,NC,wingate university,,NC,100,Address not found
winona state university,,MN,winona state university,,MN,100,Address not found
winthrop university,,SC,winthrop university,,SC,100,Address not found
wisconsin lutheran college,,WI,wisconsin lutheran college,,WI,100,Address not found
wittenberg university,,OH,wittenberg university,,OH,100,Address not found
wofford college,,SC,wofford college,,SC,100,Address not found
woodbury university,,CA,woodbury university,,CA,100,Address not found
worcester state university,,MA,worcester state university,,MA,100,Address not found
world mission university,,CA,world mission university,,CA,100,Address not found
wright state university-lake campus,,OH,wright state university-lake campus,,OH,100,Address not found
wright state university-main campus,,OH,wright state university-main campus,,OH,100,Address not found
xavier university,,OH,xavier university,,OH,100,Address not found
xavier university of louisiana,,LA,xavier university of louisiana,,LA,100,Address not found
yakima valley college,,WA,yakima valley college,,WA,100,Address not found
yeshiva bais aharon,,NJ,yeshiva bais aharon,,NJ,100,Address not found
yeshiva d'monsey rabbinical college,,NY,yeshiva d'monsey rabbinical college,,NY,100,Address not found
yeshiva derech chaim,,NY,yeshiva derech chaim,,NY,100,Address not found
yeshiva gedolah imrei yosef d'spinka,,NY,yeshiva gedolah imrei yosef d'spinka,,NY,100,Address not found
yeshiva karlin stolin,,NY,yeshiva karlin stolin,,NY,100,Address not found
yeshiva of nitra rabbinical college,,NY,yeshiva of nitra rabbinical college,,NY,100,Address not found
yeshiva ohr elchonon chabad west coast talmudical seminary,,CA,yeshiva ohr elchonon chabad west coast talmudical seminary,,CA,100,Address not found
yeshiva shaarei torah of rockland,,NY,yeshiva shaarei torah of rockland,,NY,100,Address not found
yeshiva toras chaim,,NJ,yeshiva toras chaim,,NJ,100,Address not found
yeshiva university,,NY,yeshiva university,,NY,100,Address not found
yeshivah gedolah rabbinical college,,FL,yeshivah gedolah rabbinical college,,FL,100,Address not found
yeshivath beth moshe,,PA,yeshivath beth moshe,,PA,100,Address not found
yeshivath shaar hatorah,,NY,yeshivath shaar hatorah,,NY,100,Address not found
yeshivath zichron moshe,,NY,yeshivath zichron moshe,,NY,100,Address not found
york college of pennsylvania,,PA,york college of pennsylvania,,PA,100,Address not found
york university,,NE,york university,,NE,100,Address not found
young harris college,,GA,young harris college,,GA,100,Address not found
youngstown state university,,OH,youngstown state university,,OH,100,Address not found
zane state college,,OH,zane state college,,OH,100,Address not found
abraham baldwin agricultural college,,GA,abraham baldwin agricultural college,,GA,100,Address not found
albany state university,,GA,albany state university,,GA,100,Address not found
appalachian state university,,NC,appalachian state university,,NC,100,Address not found
atlanta metropolitan state college,,GA,atlanta metropolitan state college,,GA,100,Address not found
augusta university,,GA,augusta university,,GA,100,Address not found
barnard college,,NY,barnard college,,NY,100,Address not found
baylor university,,TX,baylor university,,TX,100,Address not found
bentley university,,MA,bentley university,,MA,100,Address not found
boston college,,MA,boston college,,MA,100,Address not found
boston university,,MA,boston university,,MA,100,Address not found
bowling green state university-main campus,,OH,bowling green state university-main campus,,OH,100,Address not found
brigham young university-idaho,,ID,brigham young university-idaho,,ID,100,Address not found
bucknell university,,PA,bucknell university,,PA,100,Address not found
campbell university,,NC,campbell university,,NC,100,Address not found
carleton college,,MN,carleton college,,MN,100,Address not found
carnegie mellon university,,PA,carnegie mellon university,,PA,100,Address not found
cedar crest college,,PA,cedar crest college,,PA,100,Address not found
claremont mckenna college,,CA,claremont mckenna college,,CA,100,Address not found
clayton  state university,,GA,clayton  state university,,GA,100,Address not found
college of charleston,,SC,college of charleston,,SC,100,Address not found
college of coastal georgia,,GA,college of coastal georgia,,GA,100,Address not found
colorado christian university,,CO,colorado christian university,,CO,100,Address not found
columbus state university,,GA,columbus state university,,GA,100,Address not found
cornell university,,NY,cornell university,,NY,100,Address not found
dalton state college,,GA,dalton state college,,GA,100,Address not found
duke university,,NC,duke university,,NC,100,Address not found
east carolina university,,NC,east carolina university,,NC,100,Address not found
east georgia state college,,GA,east georgia state college,,GA,100,Address not found
eastern michigan university,,MI,eastern michigan university,,MI,100,Address not found
elizabeth city state university,,NC,elizabeth city state university,,NC,100,Address not found
emory university,,GA,emory university,,GA,100,Address not found
fayetteville state university,,NC,fayetteville state university,,NC,100,Address not found
fordham university,,NY,fordham university,,NY,100,Address not found
fort valley state university,,GA,fort valley state university,,GA,100,Address not found
franciscan university of steubenville,,OH,franciscan university of steubenville,,OH,100,Address not found
georgia gwinnett college,,GA,georgia gwinnett college,,GA,100,Address not found
georgia highlands college,,GA,georgia highlands college,,GA,100,Address not found
georgia southern university,,GA,georgia southern university,,GA,100,Address not found
georgia southwestern state university,,GA,georgia southwestern state university,,GA,100,Address not found
georgia state university,,GA,georgia state university,,GA,100,Address not found
gordon state college,,GA,gordon state college,,GA,100,Address not found
hampden-sydney college,,VA,hampden-sydney college,,VA,100,Address not found
harvey mudd college,,CA,harvey mudd college,,CA,100,Address not found
howard university,,DC,howard university,,DC,100,Address not found
indiana university of pennsylvania-main campus,,PA,indiana university of pennsylvania-main campus,,PA,100,Address not found
john carroll university,,OH,john carroll university,,OH,100,Address not found
kennesaw state university,,GA,kennesaw state university,,GA,100,Address not found
kenyon college,,OH,kenyon college,,OH,100,Address not found
"kutztown university of pennsylvania
",,PA,kutztown university of pennsylvania,,PA,100,Address not found
la salle university,,PA,la salle university,,PA,100,Address not found
lawrence technological university,,MI,lawrence technological university,,MI,100,Address not found
life university,,GA,life university,,GA,100,Address not found
lipscomb university,,TN,lipscomb university,,TN,100,Address not found
loyola marymount university,,CA,loyola marymount university,,CA,100,Address not found
massachusetts college of liberal arts,,MA,massachusetts college of liberal arts,,MA,100,Address not found
massachusetts maritime academy,,MA,massachusetts maritime academy,,MA,100,Address not found
mercer university,,GA,mercer university,,GA,100,Address not found
