df2_inst,address_df2,df2_state,df1_inst,address_df1,df1_state,similarity
ursinus college,,PA,ursinus college,,PA,100
ursuline college,,OH,ursuline college,,OH,100
uta mesivta of kiryas joel,,NY,uta mesivta of kiryas joel,,NY,100
utah state university,,UT,utah state university,,UT,100
utah tech university,,UT,utah tech university,,UT,100
utah valley university,,UT,utah valley university,,UT,100
utica university,,NY,utica university,,NY,100
valencia college,,FL,valencia college,,FL,100
valley city state university,,ND,valley city state university,,ND,100
valley college-martinsburg,,WV,valley college-martinsburg,,WV,100
valor christian college,,OH,valor christian college,,OH,100
vandercook college of music,,IL,vandercook college of music,,IL,100
vanguard university of southern california,,CA,vanguard university of southern california,,CA,100
vassar college,,NY,vassar college,,NY,100
vaughn college of aeronautics and technology,,NY,vaughn college of aeronautics and technology,,NY,100
vermont technical college,,VT,vermont technical college,,VT,100
villa maria college,,NY,villa maria college,,NY,100
vincennes university,,IN,vincennes university,,IN,100
virginia commonwealth university,,VA,virginia commonwealth university,,VA,100
virginia state university,,VA,virginia state university,,VA,100
virginia university of lynchburg,,VA,virginia university of lynchburg,,VA,100
virginia wesleyan university,,VA,virginia wesleyan university,,VA,100
viterbo university,,WI,viterbo university,,WI,100
voorhees university,,SC,voorhees university,,SC,100
wabash college,,IN,wabash college,,IN,100
wade college,,TX,wade college,,TX,100
wagner college,,NY,wagner college,,NY,100
wake forest university,,NC,wake forest university,,NC,100
waldorf university,,IA,waldorf university,,IA,100
walla walla community college,,WA,walla walla community college,,WA,100
walla walla university,,WA,walla walla university,,WA,100
walnut hill college,,PA,walnut hill college,,PA,100
walsh university,,OH,walsh university,,OH,100
warner pacific university,,OR,warner pacific university,,OR,100
warner university,,FL,warner university,,FL,100
warren wilson college,,NC,warren wilson college,,NC,100
wartburg college,,IA,wartburg college,,IA,100
washburn university,,KS,washburn university,,KS,100
washington & jefferson college,,PA,washington & jefferson college,,PA,100
washington adventist university,,MD,washington adventist university,,MD,100
washington college,,MD,washington college,,MD,100
washington state university,,WA,washington state university,,WA,100
washington state university everett,,WA,washington state university - everett campus,,WA,91
washington state university spokane,,WA,washington state university-spokane,,WA,100
washington state university tri-cities,,WA,washington state university-tri cities,,WA,100
washington state university vancouver,,WA,washington state university-vancouver,,WA,100
washington university in st louis,,MO,washington university in st louis,,MO,100
wayland baptist university,,TX,wayland baptist university,,TX,100
wayne state college,,NE,wayne state college,,NE,100
waynesburg university,,PA,waynesburg university,,PA,100
weatherford college,,TX,weatherford college,,TX,100
webb institute,,NY,webb institute,,NY,100
webber international university,,FL,webber international university,,FL,100
weber state university,,UT,weber state university,,UT,100
webster university,,MO,webster university,,MO,100
welch college,,TN,welch college,,TN,100
wentworth institute of technology,,MA,wentworth institute of technology,,MA,100
wesleyan college,,GA,wesleyan college,,GA,100
wesleyan university,,CT,wesleyan university,,CT,100
west coast university-dallas,,TX,west coast university-dallas,,TX,100
west coast university-los angeles,,CA,west coast university-los angeles,,CA,100
west coast university-miami,,FL,west coast university-miami,,FL,100
west coast university-ontario,,CA,west coast university-ontario,,CA,100
west coast university-orange county,,CA,west coast university-orange county,,CA,100
west liberty university,,WV,west liberty university,,WV,100
west los angeles college,,CA,west los angeles college,,CA,100
west texas a & m university,,TX,west texas a & m university,,TX,100
west virginia state university,,WV,west virginia state university,,WV,100
west virginia university,,WV,west virginia university,,WV,100
west virginia university at parkersburg,,WV,west virginia university at parkersburg,,WV,100
west virginia university institute of technology,,WV,west virginia university institute of technology,,WV,100
west virginia wesleyan college,,WV,west virginia wesleyan college,,WV,100
westcliff university,,CA,westcliff university,,CA,100
western colorado university,,CO,western colorado university,,CO,100
western connecticut state university,,CT,western connecticut state university,,CT,100
western governors university,,UT,western governors university,,UT,100
western illinois university,,IL,western illinois university,,IL,100
western kentucky university,,KY,western kentucky university,,KY,100
western michigan university,,MI,western michigan university,,MI,100
western nevada college,,NV,western nevada college,,NV,100
western new england university,,MA,western new england university,,MA,100
western new mexico university,,NM,western new mexico university,,NM,100
western oregon university,,OR,western oregon university,,OR,100
western washington university,,WA,western washington university,,WA,100
western wyoming community college,,WY,western wyoming community college,,WY,100
westfield state university,,MA,westfield state university,,MA,100
westminster college,,MO,westminster college,,MO,100
westmont college,,CA,westmont college,,CA,100
wheaton college,,IL,wheaton college,,IL,100
wheaton college (massachusetts),,MA,wheaton college (massachusetts),,MA,100
wheeling university,,WV,wheeling university,,WV,100
whitman college,,WA,whitman college,,WA,100
whittier college,,CA,whittier college,,CA,100
whitworth university,,WA,whitworth university,,WA,100
wichita state university,,KS,wichita state university,,KS,100
widener university,,PA,widener university,,PA,100
wilberforce university,,OH,wilberforce university,,OH,100
wiley college,,TX,wiley college,,TX,100
wilkes university,,PA,wilkes university,,PA,100
willamette university,,OR,willamette university,,OR,100
william & mary,,VA,william & mary,,VA,100
william jessup university,,CA,william jessup university,,CA,100
william jewell college,,MO,william jewell college,,MO,100
william paterson university of new jersey,,NJ,william paterson university of new jersey,,NJ,100
william peace university,,NC,william peace university,,NC,100
william woods university,,MO,william woods university,,MO,100
wilmington college,,OH,wilmington college,,OH,100
wilmington university,,DE,wilmington university,,DE,100
wilson college,,PA,wilson college,,PA,100
wingate university,,NC,wingate university,,NC,100
winona state university,,MN,winona state university,,MN,100
winthrop university,,SC,winthrop university,,SC,100
wisconsin lutheran college,,WI,wisconsin lutheran college,,WI,100
wittenberg university,,OH,wittenberg university,,OH,100
wofford college,,SC,wofford college,,SC,100
woodbury university,,CA,woodbury university,,CA,100
worcester state university,,MA,worcester state university,,MA,100
world mission university,,CA,world mission university,,CA,100
wright state university-lake campus,,OH,wright state university-lake campus,,OH,100
wright state university-main campus,,OH,wright state university-main campus,,OH,100
xavier university,,OH,xavier university,,OH,100
xavier university of louisiana,,LA,xavier university of louisiana,,LA,100
yakima valley college,,WA,yakima valley college,,WA,100
yeshiva bais aharon,,NJ,yeshiva bais aharon,,NJ,100
yeshiva d'monsey rabbinical college,,NY,yeshiva d'monsey rabbinical college,,NY,100
yeshiva derech chaim,,NY,yeshiva derech chaim,,NY,100
yeshiva gedolah imrei yosef d'spinka,,NY,yeshiva gedolah imrei yosef d'spinka,,NY,100
yeshiva karlin stolin,,NY,yeshiva karlin stolin,,NY,100
yeshiva of nitra rabbinical college,,NY,yeshiva of nitra rabbinical college,,NY,100
yeshiva ohr elchonon chabad west coast talmudical seminary,,CA,yeshiva ohr elchonon chabad west coast talmudical seminary,,CA,100
yeshiva shaarei torah of rockland,,NY,yeshiva shaarei torah of rockland,,NY,100
yeshiva toras chaim,,NJ,yeshiva toras chaim,,NJ,100
yeshiva university,,NY,yeshiva university,,NY,100
yeshivah gedolah rabbinical college,,FL,yeshivah gedolah rabbinical college,,FL,100
yeshivath beth moshe,,PA,yeshivath beth moshe,,PA,100
yeshivath shaar hatorah,,NY,yeshivath shaar hatorah,,NY,100
yeshivath zichron moshe,,NY,yeshivath zichron moshe,,NY,100
york college of pennsylvania,,PA,york college of pennsylvania,,PA,100
york university,,NE,york university,,NE,100
young harris college,,GA,young harris college,,GA,100
youngstown state university,,OH,youngstown state university,,OH,100
zane state college,,OH,zane state college,,OH,100
abraham baldwin agricultural college,,GA,abraham baldwin agricultural college,,GA,100
albany state university,,GA,albany state university,,GA,100
appalachian state university,,NC,appalachian state university,,NC,100
atlanta metropolitan state college,,GA,atlanta metropolitan state college,,GA,100
augusta university,,GA,augusta university,,GA,100
barnard college,,NY,barnard college,,NY,100
baylor university,,TX,baylor university,,TX,100
bentley university,,MA,bentley university,,MA,100
boston college,,MA,boston college,,MA,100
boston university,,MA,boston university,,MA,100
bowling green state university-main campus,,OH,bowling green state university-main campus,,OH,100
brigham young university-idaho,,ID,brigham young university-idaho,,ID,100
bucknell university,,PA,bucknell university,,PA,100
campbell university,,NC,campbell university,,NC,100
carleton college,,MN,carleton college,,MN,100
carnegie mellon university,,PA,carnegie mellon university,,PA,100
cedar crest college,,PA,cedar crest college,,PA,100
claremont mckenna college,,CA,claremont mckenna college,,CA,100
clayton  state university,,GA,clayton  state university,,GA,100
college of charleston,,SC,college of charleston,,SC,100
college of coastal georgia,,GA,college of coastal georgia,,GA,100
colorado christian university,,CO,colorado christian university,,CO,100
columbus state university,,GA,columbus state university,,GA,100
cornell university,,NY,cornell university,,NY,100
dalton state college,,GA,dalton state college,,GA,100
duke university,,NC,duke university,,NC,100
east carolina university,,NC,east carolina university,,NC,100
east georgia state college,,GA,east georgia state college,,GA,100
eastern michigan university,,MI,eastern michigan university,,MI,100
elizabeth city state university,,NC,elizabeth city state university,,NC,100
emory university,,GA,emory university,,GA,100
fayetteville state university,,NC,fayetteville state university,,NC,100
fordham university,,NY,fordham university,,NY,100
fort valley state university,,GA,fort valley state university,,GA,100
franciscan university of steubenville,,OH,franciscan university of steubenville,,OH,100
georgia gwinnett college,,GA,georgia gwinnett college,,GA,100
georgia highlands college,,GA,georgia highlands college,,GA,100
georgia southern university,,GA,georgia southern university,,GA,100
georgia southwestern state university,,GA,georgia southwestern state university,,GA,100
georgia state university,,GA,georgia state university,,GA,100
gordon state college,,GA,gordon state college,,GA,100
hampden-sydney college,,VA,hampden-sydney college,,VA,100
harvey mudd college,,CA,harvey mudd college,,CA,100
howard university,,DC,howard university,,DC,100
indiana university of pennsylvania-main campus,,PA,indiana university of pennsylvania-main campus,,PA,100
john carroll university,,OH,john carroll university,,OH,100
kennesaw state university,,GA,kennesaw state university,,GA,100
kenyon college,,OH,kenyon college,,OH,100
"kutztown university of pennsylvania
",,PA,kutztown university of pennsylvania,,PA,100
la salle university,,PA,la salle university,,PA,100
lawrence technological university,,MI,lawrence technological university,,MI,100
life university,,GA,life university,,GA,100
lipscomb university,,TN,lipscomb university,,TN,100
loyola marymount university,,CA,loyola marymount university,,CA,100
massachusetts college of liberal arts,,MA,massachusetts college of liberal arts,,MA,100
massachusetts maritime academy,,MA,massachusetts maritime academy,,MA,100
mercer university,,GA,mercer university,,GA,100
miami university-oxford,,OH,miami university-oxford,,OH,100
middle georgia state university,,GA,middle georgia state university,,GA,100
misericordia university,,PA,misericordia university,,PA,100
missouri university of science and technology,,MO,missouri university of science and technology,,MO,100
molloy college,,NY,molloy college,,NY,100
monmouth university,,NJ,monmouth university,,NJ,100
new jersey institute of technology,,NJ,new jersey institute of technology,,NJ,100
new york university,,NY,new york university,,NY,100
north carolina a & t state university,,NC,north carolina a & t state university,,NC,100
north carolina central university,,NC,north carolina central university,,NC,100
north carolina state university at raleigh,,NC,north carolina state university at raleigh,,NC,100
north carolina wesleyan university,,NC,north carolina wesleyan university,,NC,100
northwestern university,,IL,northwestern university,,IL,100
nova southeastern university,,FL,nova southeastern university,,FL,100
oakland university,,MI,oakland university,,MI,100
ohio state university-main campus,,OH,ohio state university-main campus,,OH,100
oral roberts university,,OK,oral roberts university,,OK,100
pennsylvania state university-main campus,,PA,pennsylvania state university-main campus,,PA,100
pennsylvania state university-penn state abington,,PA,pennsylvania state university-penn state abington,,PA,100
pennsylvania state university-penn state altoona,,PA,pennsylvania state university-penn state altoona,,PA,100
pennsylvania state university-penn state beaver,,PA,pennsylvania state university-penn state beaver,,PA,100
pennsylvania state university-penn state berks,,PA,pennsylvania state university-penn state berks,,PA,100
pennsylvania state university-penn state brandywine,,PA,pennsylvania state university-penn state brandywine,,PA,100
pennsylvania state university-penn state dubois,,PA,pennsylvania state university-penn state dubois,,PA,100
pennsylvania state university-penn state erie-behrend college,,PA,pennsylvania state university-penn state erie-behrend college,,PA,100
pennsylvania state university-penn state fayette- eberly,,PA,pennsylvania state university-penn state fayette- eberly,,PA,100
pennsylvania state university-penn state greater allegheny,,PA,pennsylvania state university-penn state greater allegheny,,PA,100
pennsylvania state university-penn state harrisburg,,PA,pennsylvania state university-penn state harrisburg,,PA,100
pennsylvania state university-penn state hazleton,,PA,pennsylvania state university-penn state hazleton,,PA,100
pennsylvania state university-penn state lehigh valley,,PA,pennsylvania state university-penn state lehigh valley,,PA,100
pennsylvania state university-penn state mont alto,,PA,pennsylvania state university-penn state mont alto,,PA,100
pennsylvania state university-penn state new kensington,,PA,pennsylvania state university-penn state new kensington,,PA,100
pennsylvania state university-penn state schuylkill,,PA,pennsylvania state university-penn state schuylkill,,PA,100
pennsylvania state university-penn state scranton,,PA,pennsylvania state university-penn state scranton,,PA,100
pennsylvania state university-penn state shenango,,PA,pennsylvania state university-penn state shenango,,PA,100
pennsylvania state university-penn state wilkes-barre,,PA,pennsylvania state university-penn state wilkes-barre,,PA,100
pennsylvania state university-penn state york,,PA,pennsylvania state university-penn state york,,PA,100
pitzer college,,CA,pitzer college,,CA,100
princeton university,,NJ,princeton university,,NJ,100
reed college,,OR,reed college,,OR,100
rensselaer polytechnic institute,,NY,rensselaer polytechnic institute,,NY,100
rogers state university,,OK,rogers state university,,OK,100
rose-hulman institute of technology,,IN,rose-hulman institute of technology,,IN,100
rutgers university-camden,,NJ,rutgers university-camden,,NJ,100
rutgers university-new brunswick,,NJ,rutgers university-new brunswick,,NJ,100
saint norbert college,,WI,saint norbert college,,WI,100
santa clara university,,CA,santa clara university,,CA,100
savannah state university,,GA,savannah state university,,GA,100
savannah state university,,GA,savannah state university,,GA,100
south georgia state college,,GA,south georgia state college,,GA,100
spelman college,,GA,spelman college,,GA,100
stanford university,,CA,stanford university,,CA,100
stephens college,,MO,stephens college,,MO,100
stonehill college,,MA,stonehill college,,MA,100
suny at albany,,NY,suny at albany,,NY,100
suny college of agriculture and technology at cobleskill,,NY,suny college of agriculture and technology at cobleskill,,NY,100
suny college of technology at canton,,NY,suny college of technology at canton,,NY,100
suny maritime college,,NY,suny maritime college,,NY,100
swarthmore college,,PA,swarthmore college,,PA,100
syracuse university,,NY,syracuse university,,NY,100
texas christian university,,TX,texas christian university,,TX,100
texas southern university,,TX,texas southern university,,TX,100
texas tech university,,TX,texas tech university,,TX,100
the cooper union for the advancement of science and art,,NY,the cooper union for the advancement of science and art,,NY,100
the university of alabama,,AL,the university of alabama,,AL,100
the university of texas rio grande valley,,TX,the university of texas rio grande valley,,TX,100
truett mcconnell university,,GA,truett mcconnell university,,GA,100
tulane university of louisiana,,LA,tulane university of louisiana,,LA,100
university of alabama at birmingham,,AL,university of alabama at birmingham,,AL,100
university of alabama in huntsville,,AL,university of alabama in huntsville,,AL,100
university of alaska fairbanks,,AK,university of alaska fairbanks,,AK,100
university of arkansas,,AR,university of arkansas,,AR,100
university of cincinnati-main campus,,OH,university of cincinnati-main campus,,OH,100
university of delaware,,DE,university of delaware,,DE,100
university of houston-clear lake,,TX,university of houston-clear lake,,TX,100
university of houston-downtown,,TX,university of houston-downtown,,TX,100
university of houston-victoria,,TX,university of houston-victoria,,TX,100
university of idaho,,ID,university of idaho,,ID,100
university of maryland-college park,,MD,university of maryland-college park,,MD,100
university of miami,,FL,university of miami,,FL,100
university of minnesota-morris,,MN,university of minnesota-morris,,MN,100
university of minnesota-rochester,,MN,university of minnesota-rochester,,MN,100
university of minnesota-twin cities,,MN,university of minnesota-twin cities,,MN,100
university of mississippi,,MS,university of mississippi,,MS,100
university of missouri-columbia,,MO,university of missouri-columbia,,MO,100
university of missouri-st louis,,MO,university of missouri-st louis,,MO,100
university of north carolina at asheville,,NC,university of north carolina at asheville,,NC,100
university of north carolina at chapel hill,,NC,university of north carolina at chapel hill,,NC,100
university of north carolina at charlotte,,NC,university of north carolina at charlotte,,NC,100
university of north carolina at greensboro,,NC,university of north carolina at greensboro,,NC,100
university of north carolina at pembroke,,NC,university of north carolina at pembroke,,NC,100
university of north carolina school of the arts,,NC,university of north carolina school of the arts,,NC,100
university of north carolina wilmington,,NC,university of north carolina wilmington,,NC,100
university of north georgia,,GA,university of north georgia,,GA,100
university of notre dame,,IN,university of notre dame,,IN,100
university of oklahoma-norman campus,,OK,university of oklahoma-norman campus,,OK,100
university of pennsylvania,,PA,university of pennsylvania,,PA,100
university of pittsburgh-bradford,,PA,university of pittsburgh-bradford,,PA,100
university of pittsburgh-greensburg,,PA,university of pittsburgh-greensburg,,PA,100
university of pittsburgh-johnstown,,PA,university of pittsburgh-johnstown,,PA,100
university of pittsburgh-pittsburgh campus,,PA,university of pittsburgh-pittsburgh campus,,PA,100
university of portland,,OR,university of portland,,OR,100
university of rhode island,,RI,university of rhode island,,RI,100
university of richmond,,VA,university of richmond,,VA,100
university of san diego,,CA,university of san diego,,CA,100
university of south carolina-columbia,,SC,university of south carolina-columbia,,SC,100
university of southern california,,CA,university of southern california,,CA,100
university of virginia-main campus,,VA,university of virginia-main campus,,VA,100
university of west georgia,,GA,university of west georgia,,GA,100
university of wyoming,,WY,university of wyoming,,WY,100
valdosta state university,,GA,valdosta state university,,GA,100
valparaiso university,,IN,valparaiso university,,IN,100
virginia military institute,,VA,virginia military institute,,VA,100
virginia polytechnic institute and state university,,VA,virginia polytechnic institute and state university,,VA,100
washington and lee university,,VA,washington and lee university,,VA,100
wellesley college,,MA,wellesley college,,MA,100
western carolina university,,NC,western carolina university,,NC,100
williams college,,MA,williams college,,MA,100
brigham young university,,UT,brigham young university,,UT,100
college of staten island cuny,,NY,college of staten island cuny,,NY,100
cuny bernard m baruch college,,NY,cuny bernard m baruch college,,NY,100
cuny brooklyn college,,NY,cuny brooklyn college,,NY,100
cuny city college,,NY,cuny city college,,NY,100
cuny graduate school and university center,,NY,cuny graduate school and university center,,NY,100
cuny hunter college,,NY,cuny hunter college,,NY,100
cuny john jay college of criminal justice,,NY,cuny john jay college of criminal justice,,NY,100
cuny lehman college,,NY,cuny lehman college,,NY,100
cuny medgar evers college,,NY,cuny medgar evers college,,NY,100
cuny new york city college of technology,,NY,cuny new york city college of technology,,NY,100
cuny queens college,,NY,cuny queens college,,NY,100
cuny york college,,NY,cuny york college,,NY,100
franklin w olin college of engineering,,MA,franklin w olin college of engineering,,MA,100
grinnell college,,IA,grinnell college,,IA,100
johns hopkins university,,MD,johns hopkins university,,MD,100
middlebury college,,VT,middlebury college,,VT,100
northeastern university,,MA,northeastern university,,MA,100
oberlin college,,OH,oberlin college,,OH,100
seton hall university,,NJ,seton hall university,,NJ,100
stevens institute of technology,,NJ,stevens institute of technology,,NJ,100
the college of new jersey,,NJ,the college of new jersey,,NJ,100
trinity university,,TX,trinity university,,TX,100
tufts university,,MA,tufts university,,MA,100
university of central arkansas,,AR,university of central arkansas,,AR,100
university of connecticut,,CT,university of connecticut,,CT,100
university of connecticut-avery point,,CT,university of connecticut-avery point,,CT,100
university of connecticut-hartford campus,,CT,university of connecticut-hartford campus,,CT,100
university of connecticut-stamford,,CT,university of connecticut-stamford,,CT,100
university of connecticut-waterbury campus,,CT,university of connecticut-waterbury campus,,CT,100
university of michigan-dearborn,,MI,university of michigan-dearborn,,MI,100
university of vermont,,VT,university of vermont,,VT,100
university of wisconsin - madison,,WI,university of wisconsin-madison,,WI,100
university of wisconsin-eau claire,,WI,university of wisconsin-eau claire,,WI,100
university of wisconsin-green bay,,WI,university of wisconsin-green bay,,WI,100
university of wisconsin-la crosse,,WI,university of wisconsin-la crosse,,WI,100
university of wisconsin-milwaukee,,WI,university of wisconsin-milwaukee,,WI,100
university of wisconsin-oshkosh,,WI,university of wisconsin-oshkosh,,WI,100
university of wisconsin-parkside,,WI,university of wisconsin-parkside,,WI,100
university of wisconsin-river falls,,WI,university of wisconsin-river falls,,WI,100
university of wisconsin-stevens point,,WI,university of wisconsin-stevens point,,WI,100
university of wisconsin-stout,,WI,university of wisconsin-stout,,WI,100
university of wisconsin-superior,,WI,university of wisconsin-superior,,WI,100
university of wisconsin-whitewater,,WI,university of wisconsin-whitewater,,WI,100
villanova university,,PA,villanova university,,PA,100
colgate university,,NY,colgate university,,NY,100
vanderbilt university,,TN,vanderbilt university,,TN,100
adelphi university,,NY,adelphi university,,NY,100
university of kentucky,,KY,university of kentucky,,KY,100
lafayette college,,PA,lafayette college,,PA,100
worcester polytechnic institute,,MA,worcester polytechnic institute,,MA,100
