df2_inst,address_df2,df2_state,df1_inst,address_df1,df1_state,similarity
columbia university in the city of new york,,NY,columbia university in the city of new york,,NY,100
columbus college of art and design,,OH,columbus college of art and design,,OH,100
community college of denver,,CO,community college of denver,,CO,100
concord university,,WV,concord university,,WV,100
concordia college at moorhead,,MN,concordia college at moorhead,,MN,100
concordia university ann arbor,,MI,concordia university ann arbor,,MI,100
concordia university texas,,TX,concordia university texas,,TX,100
concordia university-chicago,,IL,concordia university-chicago,,IL,100
concordia university-irvine,,CA,concordia university-irvine,,CA,100
concordia university-nebraska,,NE,concordia university-nebraska,,NE,100
concordia university-saint paul,,MN,concordia university-saint paul,,MN,100
concordia university-wisconsin,,WI,concordia university-wisconsin,,WI,100
connecticut college,,CT,connecticut college,,CT,100
conservatory of music of puerto rico,,PR,puerto rico conservatory of music,,PR,96
converse university,,SC,converse university,,SC,100
coppin state university,,MD,coppin state university,,MD,100
corban university,,OR,corban university,,OR,100
cornell college,,IA,cornell college,,IA,100
cornish college of the arts,,WA,cornish college of the arts,,WA,100
cottey college,,MO,cottey college,,MO,100
creighton university,,NE,creighton university,,NE,100
criswell college,,TX,criswell college,,TX,100
crowley's ridge college,,AR,crowley's ridge college,,AR,100
crown college,,MN,crown college,,MN,100
culinary institute of america,,NY,culinary institute of america,,NY,100
culver-stockton college,,MO,culver-stockton college,,MO,100
curry college,,MA,curry college,,MA,100
curtis institute of music,,PA,curtis institute of music,,PA,100
cypress college,,CA,cypress college,,CA,100
d'youville  university,,NY,d'youville  university,,NY,100
daemen university,,NY,daemen university,,NY,100
dakota state university,,SD,dakota state university,,SD,100
dakota wesleyan university,,SD,dakota wesleyan university,,SD,100
dallas baptist university,,TX,dallas baptist university,,TX,100
dallas christian college,,TX,dallas christian college,,TX,100
dallas college,,TX,dallas college,,TX,100
davenport university,,MI,davenport university,,MI,100
davidson college,,NC,davidson college,,NC,100
davis & elkins college,,WV,davis & elkins college,,WV,100
davis college,,NY,davis college,,NY,100
daytona college,,FL,daytona college,,FL,100
daytona state college,,FL,daytona state college,,FL,100
dean college,,MA,dean college,,MA,100
defiance college,,OH,defiance college,,OH,100
delaware state university,,DE,delaware state university,,DE,100
delaware valley university,,PA,delaware valley university,,PA,100
delta state university,,MS,delta state university,,MS,100
denison university,,OH,denison university,,OH,100
depaul university,,IL,depaul university,,IL,100
depauw university,,IN,depauw university,,IN,100
desales university,,PA,desales university,,PA,100
design institute of san diego,,CA,design institute of san diego,,CA,100
devry college of new york,,NY,devry college of new york,,NY,100
devry university-arizona,,AZ,devry university-arizona,,AZ,100
devry university-california,,CA,devry university-california,,CA,100
devry university-florida,,FL,devry university-florida,,FL,100
